cancel  v.删去,取消
extreme  adj.极度的,极端的;尽头的,末端的n.极端,过分
dumping  n.倾销
sink  v.下沉
degree  n.程度
anhydrous  adj.无水的
disheveled  adj.(指毛发或衣服)凌乱的
colloquy  n.(非正式的)交谈,会谈
discord  n.不和,纷争
especially  ad.特别；尤其
expend  vt.消费,用尽
hint  n./v.暗示,提示
flammable  adj.易燃的
sing  v.演唱
demonstrate  v.论证,证明;示威
mumps  n.腮腺炎
sublime  adj.崇高的
hire  n.租金；工钱
pending  adj.未决的，紧迫的
donkey  n.驴子；蠢人；顽固的人
monument  n.纪念碑，纪念馆，遗迹，不朽的业绩
infantry  n.步兵
ambidextrous  adj.十分灵巧的
saunter  v./n.闲逛,漫步
vivid  a.鲜艳的;活泼的,有生气的;清晰的
infraction  n.违法
swarthy  adj.(皮肤等)黝黑的
anonymity  n.无名，匿名
assent  v.同意,赞成
virtue  n.德行，美德；贞操；优点；功效，效力
adulate  v.谄媚,奉承
hotbed  n.温床,滋长地
compulsion  n.强迫；难以抗拒的冲动
prestigious  adj.有名望的,有威信的
allocation  n.分配
British  a.不列颠的，英联邦的
corrupt  a.腐败的,贪污的;v.(使)腐败,贿赂
preclude  v.避免,排除
commemorate  vt.纪念
disapprobation  n.反对,非难
emend  v.订正,校订
contravention  n.违法,违背
noncommittal  adj.态度暧昧的,不承担义务的
leaflet  n.散页的印刷品,传单
bluff  n.虚张声势;悬崖峭壁
gentleman  n.绅士
compromise  n.妥协,折衷;v.妥协;使遭受危害
reach  n.延伸；范围v.影响
comparative  a.比较的，相当的
childish  a.孩子的；幼稚的
lightly  ad.轻轻地，轻松地
react  v.反应，起作用；(against)反对，起反作用
hiss  n.嘶嘶声vi.嘶嘶作声
positively  ad.确定的，断然
justify  vt.证明…是正当的或有理的,为…辩护
sight  n.视力
entrench  v.挖壕沟；确立
moonlighting  n.业余干活
banker  n.银行家
jeopardy  n.危险
following  a.下列的，下述的，其次的，接着的
conversant  adj.精通的，有交情的
managerial  adj.管理的
exorbitance  n.(价格,收费,要求等的)过高,过度
hive  n.蜂房；忙碌之地
spasmodic  adj.痉挛的；间歇性的
aspersion  n.诽谤,中伤
unison  n.齐奏,齐唱;一致的或协调的行动
mincer  n.粉碎机
complacency  n.满足，安心
impress  v.(on)印，盖印；留下印象，引人注目
restate  v.复述,重说
assert  vt.维护;宣称
place  n.地方
regular  a.规则的；经常的；正常的
coddle  v.溺爱;悉心照料
informed  a.见多识广的；消息灵通的
dispute  v./n.争论,争执,质疑
deflated  adj.灰心丧气的
observation  n.观察，观测，监视；(pl.)观察资料；观察力
tremble  v.&n.战栗；发抖
ascendant  adj.上升的,占支配地位的
inhabitant  n.居民，住户
fraction  n.碎片,片断;分数
expect  vt.期待
site  n.位置vt.设置
assess  vt.评价;估值
apprehensive  a.害怕的；有眼力的
perfunctorily  adv.敷衍地，潦草地，表面地
debrief  v.向...询问情况,听取汇报
ensign  v.舰旗
informer  n.告发者,告密者
filibuster  v./n.妨碍议事,阻挠
transferable  adj.可转让的
sausage  n.香肠，腊肠
plait  n./v.发辫,编成辫
aver  v.极力声明；断言
armchair  n.手扶椅
divert  vt.使转向,使改道(或绕道);转移,转移…的注意力;使娱乐,使消遣
plain  a.简单的n.平原
should  v.aux.应该；将要
justice  n.公正，公平；审判，司法
pantheon  n.万神殿
raucous  adj.(声音)沙哑的,粗糙的
mileage  n.里程
regent  n.摄政者(代国王统治者)
individual  a.个人的,个体的,个别的;n.个人,个体
excitement  n.刺激，激动，兴奋
blueprint  n.蓝图;方案
disloyalty  adj.不忠
interim  n.中间时期,过渡时期；adj.暂时的
person  n.人
retaliation  n.报复
enforce  vt.强迫服从;实施;加强
glitter  vi./n.闪闪发光,闪光
arsenal  n.军械库
secretive  adj.守口如瓶的
ferocious  a.凶猛的,凶残的
sociology  n.社会学
obtainable  adj.可得到的
pygmy  n.矮人,侏儒
emphatic  adj.强调的，着重的
enjoin  v.命令,吩咐
labyrinthine  adj.迷宫式的,曲折的
ready  a.有准备的
sparrow  n.麻雀
player  n.游戏的人；比赛者
luxurious  a.爱好奢侈的，豪华的
orientation  n.方向，方位，定位，倾向性，向东方
limited  a.有限的，被限制的
purebred  adj.(动物)纯种的
match  n.比赛
enervate  v.使虚弱,使无力
orthopedics  n.整形手术,整形外科
canto  n.(长诗的)篇
granite  a.花岗岩，花岗石
divest  (of)v.卸下盛装,剥夺
accrued  adj.增值的，应计的
informal  adj.非正式的
debonair  adj.迷人的,友好的
prepare  v.准备
seaport  n.海港，港市
recline  v.斜倚,躺卧
crusade  n.维护理想、原则而进行的运动或斗争
mince  v.切碎，绞碎
surgeon  n.外科医生
withdrawn  adj.隐退的,离群的
discourage  v.使…气馁
nowadays  ad.现今，现在
oversee  v.监督
reproach  vt./n.责备,指责
scanty  adj.不够的,贫乏的
holograph  n.亲笔信
disinfectant  n.消毒剂
notably  adj.尤其，值得注意地,明显地
opulent  adj.富裕的；充足的
carnival  n.狂欢节
cooperative  a.合作的，协作的n.合作社
size  n.尺寸
scathing  adj.苛刻的,严厉的
temper  n.脾气；韧度vt.调和，使缓和；使回火
reserved  adj.说话不多的
resumption  n.重新开始
rejoice  vt./vi.欣喜,高兴
sideways  ad./a.向旁边(的)，侧身，横着(的)，斜着(的)
frantic  adj.疯狂的,狂乱的
talisman  n.避邪物,护身符
avid  adj.渴望的；热心的
object  n.物体；目标
minatory  adj.威胁的,恫吓的
tautological  adj.用语重复的
infinite  a.无限的，无穷的n.无限
sonnet  n.十四行诗
suffice  vi.足够,有能力vt.(食物等)使(某人)满足
notable  a.值得注意的,著名的;可觉察的;n.名人,要人
orotund  adj.(声音)宏亮的；夸张的
elect  v.选举
miner  n.矿工
stirring  adj.动人的,萌动的
multiplication  n.增加；繁殖；乘法
policy  n.政策;保险单
unsalable  adj.不好销售的
asymptomatic  adj.[医]无症状的
impassioned  adj.慷慨激昂的
abbreviation  n.缩略语
vocation  n.职业；召唤；天命；天职；才能
viscosity  n.粘度,粘性
police  n.警察a.警察机关的
thank  vt.&n.感谢
infinity  n.大量，大宗；无穷大
surgery  n.外科,外科手术
exorbitant  adj.过分的,过度的
reimburse  vt.偿还,付还
violent  a.猛烈的;凶暴的;由暴力引起的;强烈的,厉害的
inaccessible  a.达不到的，难接近的
scholarship  n.学问;奖学金
preposition  n.介词
inflammable  adj.不易燃的
justifiable  adj.有理由的
incinerate  v.焚化,毁弃
piquancy  n.辛辣
check  v.&n.检查
beacon  n.烽火；灯塔
ductility  n.延展性,可锻性
grotto  n.洞穴
pragmatic  adj.实际的,实用主义的
frigidity  n.寒冷,冷淡,性冷淡
suggestible  adj.易受影响的
absent-minded  adj.心不在焉的
downwards  adv.向下，以下
underplay  v.淡化...的重要性;表演(角色)不充分
malcontent  adj.不满的;n.不满分子,反抗者
society  n.社会
nowhere  ad.什么地方都没有
elliptical  a.椭圆的；省略的
emancipate  v.解放
romantic  a.浪漫的，传奇式的；不切实际的，好幻想的
envisage  v.正视,想像
anticipation  n.预期,预料
hunch  n.直觉,预感
reinforcement  n.加强，援兵
November  n.十一月
malpractice  n.玩忽职守,渎职
mortuary  n.停尸间,太平间
cheek  n.面颊，脸
versatile  a.多才多艺的;多功能的
cheer  a.愉快的
versus  prep.(诉讼或比赛中)对
avow  v.承认;公开宣称
aggrieve  adj.使受委屈;使痛苦
translation  n.翻译；译文，译本
personnel  n.人员
imperturbable  adj.冷静的,沉着的
splash  v./n.溅水,泼水;显示,鼓吹
prognosticate  v.预测,预示
refractory  adj.难驾驭的；(病)难治的
irrelevant  adj.不相关的
resentful  adj.不满的，怨恨的
primacy  n.首要,首位
myth  n.神话,传说,虚构的人或物
implication  n.含意，暗示，暗指；牵连
wastrel  n.挥霍无度的人
reservation  n.保留，保留意见；预定，预订
billow  n.巨浪;v.翻腾
cordial  a.热诚的,衷心的
cooperation  n.合作，协作
blandishments  n.好言劝诱,甜言蜜语
modulate  vt.调整，调节(声音)
aghast  a.惊骇的,吓呆的
scurrilous  adj.下流的
mottled  adj.有杂色的,斑驳的
inter  v.埋葬
litre  n.公升
felicity  n.幸福;适当的措辞
turbulence  n.骚乱
gaiety  n.欢乐,快活
daylight  n.日光，白昼，黎明
renewable  adj.可续期的
crazy  a.疯狂的
razor  n.剃刀
southeast  n./a.东南(的)，东南部(的)
huckster  n.叫卖小贩,零售商
penicillin  n.青霉素，盘尼西林
hijacker  n.拦路抢劫者
successor  n.接替的人或事物，继任者
extroversion  n.外向性,外倾
neutrality  n.中立
roast  v./a.烤(的),烘(的)
recumbent  adj.侧卧的；休息的
succession  n.连续,继续;一连串;继承权
mechanically  ad.机械地
contented  adj.心满意足的
cheap  a.便宜的
nautical  adj.船员的,航海的
allergic  adj.过敏的，变态的
cheat  v.欺骗；作弊n.骗子；欺诈，欺骗行为
undoubtedly  ad.无疑地,必是地
constraint  n.强迫，结束；强制力
unreasonable  a.不讲道理的；过度的
anecdote  n.轶事,趣闻
infect  vt.传染;受影响
pleat  n.(衣服上的)褶
backslide  v.故态复萌
capital  n.首都
minor  a.较小的，较小的n.兼修学科v.(in)兼修
traveler  n.旅行者
smuggling  n.走私
straits  n.困难,窘境
upon  prep.在…之上
crawl  vi,爬行,缓慢地行进,爬满;起鸡皮疙瘩;n.爬行;自由泳
identical  a.(to.with)同一的，同样的
plead  v.恳求，请求；为…辩护；提出…为理由
abject  adj.极可怜的；卑下的
contemptuous  adj.轻视的
towel  n.毛巾,手巾
paean  n.赞美歌,颂歌
exercise-book  n.练习簿
streetcar  n.有轨电车
puberty  n.青春期,春情发动期
tower  n.城堡
traffic  n.交通，交通量
well-known  a.有名的，著名的
purlieu  n.(常作复数)邻近地区
hatch  v.孵出;策划
crave  v.渴望，恳求
margarine  n.人造黄油
successive  a.接连的，连续的
ceremony  n.典礼,仪式,礼节
gratification  n.满足,喜悦
desirous  adj.渴望的
taxation  n.税制,税项
emanate  v.散发，发出，发源
university  n.大学
chatter  vi.&n.喋喋不休
airtight  adj.密封的
intimidate  v.恐吓,胁迫
teacher  n.教师
possibility  n.可能，可能性；可能的事，希望
exhibition  n.展览品；展览会
wounded  adj.受伤的n.伤员
vicarious  adj.替代的,代理的
satiate  v.使充分满足,使饱足
necklace  n.项链，项圈
distinguished  adj.尊贵的，尊敬的
opening  n.口,孔;开始,张开;职位空缺
rampage  v.狂暴地乱冲;n.暴怒
industrial  a.工业的，产业的
bemused  adj.茫然的,困惑的
machiavellian  adj.运用权术的,为达目的而精于耍手段的
remission  n.宽恕,赦免
pillow  n.枕头
skirmish  n.小冲突,小规模战斗
maintenance  n.维修，保养，维持，保持，生活费用
barbarous  adj.野蛮的,残暴的
elation  n.得意,振奋
glisten  v.闪光
flawless  adj.完美的,无瑕疵的
supply  v.&n.供给；供应
wherein  adv.在何处
awe-inspiring  adj.令人敬畏的
circulate  v.(使)循环,(使)流通;(使)流传,散布,传播
dinghy  n.无篷小船,小艇
incubate  v.孵化
resuscitate  v.使复活,使苏醒
mountain  n.山脉
integrity  n.诚实,正直;完整,完整性
pact  n.协定,条约
appreciative  adj.感激的
adviser  n.顾问
cargo  n.船货，货物
dough  n.面团
panacea  n.万灵药
caret  n.加字符号(∨,∧)
crustacean  n.甲壳类动物
night  n.夜晚
pace  n.(一)步;步速,速度,节奏vi.踱步
pack  v.捆扎，打包；塞满，挤满n.包裹，背包，一群/副
each  a.各自的
patchwork  n.缝缀而成的衣物或工艺品
tutelage  n.监护,指导
off-grade  adj.等外的，质差的
supple  adj.伸屈自如的
cordially  adv.亲切地
thirty  num.三十
polite  a.有礼貌的
workman  n.工人，劳动者，工匠
perfectly  ad.很，完全
entertainment  n.娱乐,招待,表演
document  n.公文，文献
colonist  n.移民；殖民地居民
rapport  n.和睦,意见一致
mallet  n.木槌,大头锤
availability  n.有效(性)；可得性
cohesive  a.粘合性的，有结合力的
untoward  adj.不幸的,(坏事)没料到的
disaggregate  v.分散;使崩溃
builder  n.建筑工人，建设者
divorce  v./n.离婚，分离
tonnage  n.吨位，吨数
emaciate  v.使瘦弱
fraught  adj.充满
thirst  vi./n.渴;渴望
withdrawal  n.撤退，取款
haughty  a.傲慢的，轻蔑的
uncommunicative  adj.沉默寡言的,不爱说话的
prayer  n.祈祷，祷告，祷文
economical  a.节约的，经济的
formative  adj.形成的,影响发展的
coincident  adj.一致的,暗合的,符合的
polish  vt./vi磨光,擦光;润饰,使优美;n.擦光剂;优美,完善
vitalize  v.激发活力
optical  a.光(学)的;眼的,视力的;视觉的
attune(to)  v.调音;使合调;使相合
dazzle  vt.眩目,耀眼;使迷惑
principle  n.原理，原则；主义，信念
procreate  v.生育
unable  a.不能的，不会的
irrigation  n.灌溉
rueful  adj.后悔的,遗憾的
compile  vt.编辑,编写
separation  n.分离，分开；分居
unguarded  adj.不留神的；没有防备的
vitality  n.精神,活力
somatic  adj.肉体的
radiate  v.辐射,(使)从中心发散,发出(光或热);流露,显示
remittent  adj.(病)间歇性的,忽好忽坏的
chest  n.胸腔，胸膛；箱，柜
tension  n.紧张局势;情绪紧张;不安状态
chess  n.棋，国际象棋
tenuous  adj.细薄的,稀薄的；空洞的
carat  n.(宝石重量单位)克拉；(金子)开
caustic  adj.腐蚀性的；刻薄的
doubt  n.&v.怀疑
take-off  n.起飞
harassment  n.烦扰的行为
pecuniary  adj.金钱的
precocious  adj.早熟的
unbend  v.弄直;放松
involved  adj.涉及的，复杂的
crossroads  n.交叉路口，十字路
ballroom  n.舞厅
fixed  adj.固定的，已确定的
page  n.页；记录
cordon  n.警戒线,哨兵线
pepper  n.胡椒粉，胡椒；辣椒
ventriloquist  n.口技表演者，会口技的人
away  ad.在远处
motivation  n.动机
panache  n.羽饰,炫耀
contort  v.(使)扭曲;曲解
millennium  n.一千年;(未来的)太平盛世
inveigle  v.诱骗,诱使
specter  n.鬼魂,幽灵；恐惧
dogmatism  n.教条主义,武断
painful  a.疼痛的，使痛苦的，费力[心]的，棘手的
wreckage  n.残骸
enhance  vt.提高(强度、力量、数量等),增加(进)
pail  n.桶，提桶一桶的量
harvest  n.&v.收获
pain  n.痛苦
washing-machine  n.洗衣机
fealty  n.效忠
center  n.中心，中央，中间vt.集中vi.以…为中心
suspicion  n.怀疑，猜疑；一点儿，少量
purchase  v.买，购买n.购买的物品
refusal  n.拒绝
transshipment  n.转运
supper  n.晚餐
pair  n.一对
versed  adj.熟练的,精通的
equal  a.相等的
optometrist  n.验光师
neutralize  v.使无效；中和
canker  n.溃疡病;祸害
silicon  n.硅
gravity  n.重力，引力；严肃，庄重
reprove  v.责骂,申斥
moderation  n.自我控制;缓和,减轻
marsupial  n./adj.有袋动物(的)
alight  adj.烧着,点着;v.(从马上或车上)下来
parking  n.停放车辆
studio  n.画室；播音室；(电影)制片厂
pall  v.令人发腻,失去吸引力
palm  n.手掌,棕榈
limerick  n.五行打油诗
complacent  adj.自满的,得意的
primate  n.灵长类(动物)
payable  adj.支付给的
recruitment  n.招募
vilify  v.辱骂,诽谤
colonize  v.建立殖民地
virtuosity  n.精湛技巧,高超
suppression  n.镇压，压制
payment  n.支付，付款额
metamorphosis  n.变形,变态
pale  n.栅栏a.苍白的
hardware  n.金属日用器皿,(计算机)硬件
batter  vt.连续猛击;炮击;打烂
judicial  adj.法庭的,法官的
allocate  vt.分配,配给
eradication  n.根除
hurly-burly  n.喧闹,骚动
consultation  n.咨询
athletic  adj.田径的
primary  a.最初的，初级的；首要的，主要的，基本的
pant  vt./vi.气喘,喘息;气喘吁吁地说
enterprise  n.艰巨的事业,事业心;企业
falcon  n.猎鹰；隼
formation  n.形成；构成；组织；构造；编制；塑造
accidental  a.偶然的；意外的；无意中的
unconcern  n.冷淡,不关心
merely  adv.仅仅，只不过
pane  n.窗格玻璃
pang  n.一阵剧痛
wealth  n.财产；财富
means  n.方法；手段
sentinel  n.哨兵,卫兵
rusty  a.生锈的；变迟钝的
centre  n.中心(=center)
leeway  adj.活动余地
wrangler  n.口角者,争论者,牧马者
postulate  vt.要求，假定，假设
niggard  n.吝啬鬼
contemplation  n.苦思冥想
infest  v.骚扰,扰乱
eternal  a.永久的,不朽的;不停的
absurdity  n.荒唐(事)
o-clock  adv.点钟
habituate  v.使习惯于
fellow  n.同事
crumple  v.弄皱;破裂
plebeian  n./adj.平民,平民的
diabetes  n.糖尿病
sprightly  adj.愉快的,活泼的
overpower  v.制服,压服
invaluable  a.无价的,无法估价的
improper  a.不适当的；不合理的
husband  n.丈夫
shrivel  v.枯萎,皱缩
cyclone  n.旋风,飓风
commander  n.司令官，指挥员
renegade  n.叛教者,叛徒
spackle  n.填泥料(用以填塞裂缝和洞穴)
inappropriate  adj.不适合的
propagate  vt./vi.繁殖,增殖,传播,宣传
inscription  n.铭刻；题献
affair  n.事情；事件
necessitate  vt.使成为必需
orthodox  adj.正统的
combination  n.结合，联合；化合；团体；组合数码
unkempt  adj.(衣服,头发)不整洁的
obtain  v.获得
banana  n.香蕉
jewelry  n.(总称)珠宝
adept  adj.老练的,精通的
sacrifice  n./v.献祭;牺牲
teller  n.出纳
illegal  a.不合法的，非法的
congratulate  v.(on)祝贺，向…致贺词
zipcode  n.邮政编码
unseemly  adj.不适当的,不宜的
overriding  adj.最主要的,优先的
numinous  adj.庄严的,神圣的
expedience  n.便利，权宜之计
cohesion  n.凝聚力，团结
retrench  v.节省,紧缩费用
apoplectic  adj.中风的,愤怒的
ease  v./n.减轻,放松,小心移置;舒适
unbidden  adj.未经邀请的
certitude  n.确定无疑
condiment  n.调味品,佐料
part  n.部分v.分开
radiant  a.发光的，辐射的，容光焕发的
penetrate  v.穿过;透过;看穿,洞察;秘密潜入
expediency  n.方便；权宜之计
reproof  n.责斥,责备
vibrancy  n.生机勃勃,活泼
principal  a.主要的;n.校长
inured  adj.习惯的
pare  v.削;修剪
perpetrate  v.犯罪,做坏事
elegy  n.哀歌、挽歌
east  n.东方
resound  v.回荡着声音;鸣响
unrestrained  adj.未受抑制的,放纵的
technocrat  n.技术管理人员
boycott  vt./n.联合抵制
park  n.公园
cardiologist  n.心脏病专家
economics  n.经济学，经济情况
commiserate  v.同情,怜悯
unadorned  adj.未装饰的
earn  vt.赚
lithe  adj.柔软的,易弯曲的
earl  n.伯爵
interfere  v.(in)干涉，干预；(with)妨碍，打扰
regionalization  n.区域化
intangible  adj.无形的
oxymoron  n.矛盾修饰法(矛盾词在一起用,如:cleverst
coherence  n.凝聚性
annexation  n.并吞,合并
cubicle  n.大房间中隔出的小室
ambiguous  a.引起歧义的，模棱两可的，含糊不清的
asylum  n.避难所,庇护所
infernal  adj.地狱的；可恶的
path  n.小路
crack  n.裂缝;破裂声;(砰的)一击;v.使破裂;噼啪作响;声音变哑;解开(难题、密码)
soporific  adj.催眠的;n安眠药
grotesque  adj.(外形或方式)怪诞的,古怪的
adulterate  v.掺假
pass  v.经过；通过
past  a.过去的n.过去
profile  n.侧面;轮廓
easy  a.简单的
whose  pron.谁的
honeymoon  n.蜜月
bucket  n.水桶,一桶之量
senior  a.年长的；地位较高的n.(大学)四年级学生
convivial  adj.欢乐的,狂欢的
dilate  v.(身体某部位)张大,扩大
bathetic  adj.假作悲伤的,陈腐的
domain  n.领域,领土,范围
census  n.人口统计
arrhythmic  adj.无节奏的,不规则的
oatmeal  n.燕麦片
thriller  n.惊险小说，电影
bloated  adj.肿胀的;傲慢的
adoption  n.收养；采纳，采取
pave  vt.铺(路等)
arrogate  v.冒称具有...权利
conduction  n.传导，传热
consignment  n.委托，货物
addle  v.使腐坏；使昏乱
reverence  n.尊敬，崇敬
tanker  n.油船
requisite  a.需要的n.必需品
inflexible  adj.不可弯曲的;不屈的
floridness  n.华丽,鲜艳,花哨
supersede  vt.代替
inch  n.英寸
syllabus  n.教学纲要
dialect  n.方言,俚语
pulverize  v.压成细粉；彻底击败
commuter  n.坐公交车上下班的人
impel  v.推进；驱使
glider  n.滑翔机
incumbent  n.在职者,现任者;adj.义不容辞的
wretched  a.不幸的,可怜的;令人难受的
hydraulic  a.水力的；水力学的
phlegmatic  adj.冷静的,冷淡的
legal  a.法律的
disintegration  n.分散，解体
chairperson  n.主席(无性别之分)
proprietorship  n.所有权
espionage  n.间谍活动
impiety  n.不敬,不恭
exhaust  n.排气;v.(使)疲倦;用尽;弄空;详述
varied  adj.不同的
ostentatious  adj.卖弄的,夸耀的
aegis  n.盾；保护，庇护
regarding  prep.关于，有关
relativity  n.相关(性)；相对论
asphyxiate  v.(使)无法呼吸,窒息而死
tackle  vt./vi.处理,对付;抓住
pawn  v.典当,抵押,以...担保n.小卒,被人利用的人
influenza  n.流行性感冒
locust  n.蝗虫；洋槐，刺槐
squeeze  vt./vi.挤,榨
premeditate  v.预先想过，预谋
rather  ad.宁愿
endless  a.无止境的
papers  n.文件，证书
awry  adj.扭曲的,走样的
plantation  n.种植园
rudder  n.船舵；领导者
color-blind  adj.色盲的
hemisphere  n.半球,(地球的)半球
human  n.人类
poetry  n.诗歌，诗集
prince  n.王子，亲王
arrogant  a.傲慢的,自负的
ecstasy  n.狂喜
decidedly  ad.明确地，坚决地
proselyte  n.皈依者,改变宗教信仰者
beach  n.海滩
inherit  v.继承,经遗传而得(特性等)
blanket  n.毯子(可数)；厚厚一层(可数)vt.铺上一层
turpitude  n.邪恶,卑鄙(行为)
hermetic  adj.密封的;深奥的
exhausted  adj.精疲力竭的
misgiving  n.疑虑,怀疑
tantamount  adj.与...相等的
discount  n.折扣vt.不全信,低估,漠视
fluorescent  adj.萤光的,发光的
navigation  n.航海，航空；导航，领航
exasperate  v.激怒,使恼火
cigar  n.雪茄烟
supplier  n.供应商
mimic  v.模仿,戏弄；n.模仿他人言行的人
whereas  conj.鉴于;反之
feat  n.功绩，伟业，技艺
fear  n.恐怖
inspection  n.检查,审视,检阅
incessant  adj.无间断的,连续的
adversity  n.逆境，不幸
reactivate  v.恢复活力,重新活跃
inadvertent  adj.不注意的,疏忽的
oriental  a./n.东方的,东方人
appreciation  n.欣赏；鉴别；感激
pretension  n.自命不凡,夸耀
broadcasting  n.广播节目
quintessence  n.完美的榜样；精华
Canada  n.加拿大
inexpiable  adj.不能补偿的
legitimate  a.合法的,合理的
cosmopolitan  a.全世界的,世界主义的
mitten  n.连指手套；露指手套
whereby  ad.凭什么,靠那个,借以
skew  adj.不直的,歪斜的
upset  v.使…心烦意乱；打翻，推翻a.难过的；不安的
goodbye  int.再见
skin  n.皮肤；外壳
skim  vt.浏览,略读,掠过,抹去
skip  n./v.跳,遗漏
cleanse  v.清洗,清除
inflated  adj.充气的；骄傲的
liquefy  v.液化,溶解
grudge  vt.吝惜,不愿给;n.恶意,怨恨,忌妒
recur  v.(尤指不好的事)一再发生；重现
scalpel  n.外科手术刀,解剖刀
twenty  num.二十
pilgrim  n.香客,朝圣者
assimilate  v.同化；吸收
addict  v./n.沉溺,上瘾(者)
toothpaste  n.牙膏
parley  n.和谈；会谈
aluminium  n.铝
trustworthy  adj.值得信赖的,可靠的
characteristical  adj.特征的
brawny  adj.(人)强壮的
beatitude  n.至福,十分幸福
palliative  n.缓释剂；a.减轻的，缓和的
recognition  n.认出，辨认；承认
feel  vi.感觉
terribly  adv.可怕地，极
aisle  n.通道
bedlam  n.混乱,骚乱
terrible  a.可怕的；极坏的
insinuate  v.暗指,暗示
textbook  n.课本，教科书
syllable  n.音节
felicitous  adj.(话语等)适当的,得体的
unavoidable  adj.不可避免的
feed  v.饲养n.饲料；食物
chuckle  v.轻声地笑
background  n.背景
bonnet  n.圆帽,扁平软帽
skit  n.幽默讽刺短剧
hardihood  n.大胆,鲁莽
staccato  adj.(音乐)断音的,不连贯的
linoleum  n.油毡
stupefy  v.(使)茫然,吓呆
handsome  a.英俊的；大方的
ubiquitous  adj.无所不在的
constitution  n.构成，构造，组成(方式)，成分；体格；宪法
whittle  v.削(木头)；削减
conceive  v.想出(主意);怀孕
diabolical  adj.恶毒的,狠毒的
turquoise  n.绿松石;adj.碧绿的
nonsense  n.胡说，废话
breath  n.呼吸
nonviable  adj.无法生存的
repeat  v.&n.重复
vampire  n.吸血鬼
justification  n.辩护，正当理由
implode  v.内爆,剧减
garbled  adj.引起误解的,窜改的
repeal  vt.撤销；放弃n.撤销
lullaby  n.摇篮曲
gerontology  n.老人病学
dismember  v.肢解
orange  n.橘子
masculine  a.男性的;男子气概的
ripen  vt.使熟vi.成熟
circulation  n.循环；(货币等)流通
lodge  v.临时住宿，寄宿，寄存，容纳n.传达室，小旅馆
breast  n.胸膛，乳房
deceased  adj.已死的
depend  v.信任；依靠
lugubriousness  n.悲哀
ironical  adj.反讽的，讽刺的
excursive  adj.离题的,随意的
crash  n.突然坠落;事故;倒闭;ad.砰地一声;v.坠毁,碰撞,冲过;(公司)倒闭
character  n.特性
scornful  adj.蔑视的，轻视的
stick  v.粘住
crass  adj.愚钝的,粗糙的
respiratory  adj.呼吸的
injunction  n.命令,强制令
artless  adj.粗俗的,自然的
myself  pron.我自己
module  n.组件,模块,模件;(航天器的)舱
surveyor  n.调查人，检验人
polyglot  n./adj.通晓多种语言的
aseptic  adj.无菌的,洁净的
substantial  a.可观的,大量的;牢固的,结实的;实质的,真实的
quality  n.质量
nihilism  n.虚无主义(生存无意义)；民粹主义
pillar  n.柱,栋梁
uncharitableness  n.不慈悲,严厉
sincere  a.真挚的;诚恳的
maternal  a.母性的
lascivious  adj.淫乱的；好色的
prolific  adj.多产的,多结果的
tawdry  adj.华而不实的,俗丽的
wanderlust  n.漫游癖,旅游热
outset  n.开端,开始
fell  v.击倒；打倒(疾病等)；砍伐a.凶猛的；可怕的
into  prep.到…里
roster  n.值班表,花名册
glance  v.扫视n.眼光
purification  n.净化
benign  adj.慈祥的
arbitrator  n.仲裁员
destruction  n.毁坏，毁灭(的原因)
acquit  v.宣告无罪；脱卸义务和责任；还清(债务)
trickster  n.骗子,欺诈者
stiff  a.坚硬的;费劲的;不易弯的
middle  a.中间的n.中间
prosper  v.兴旺,繁荣
rudiments  n.基础知识
renewal  n.更新，续订
blizzard  n.暴风雪
appeal  vi./n.呼吁;上诉;吸引(力)
crate  n.一箱，篓，筐
everyday  a.每一天
appear  vi.出现
diary  n.日记
definitely  ad.一定地，明确地
monotonous  a.单调的,无变化的
collaboration  n.协作,合作;勾结
negate  v.否定
hidebound  adj.顽固的,心胸狭窄的
bureaucracy  n.官僚
dissatisfy  vi.使不满，使不平
geometry  n.几何学
littoral  adj.海岸的；n.海滨,沿海地区
infrequent  adj.不经常的
salvation  n.得救,拯救
craftsman  n.手艺人
trepidation  n.恐惧,惶恐
exclamation  n.呼喊，惊叫；感叹
enhancement  n.提高
whisky  n.威士忌酒
diameter  n.直径
tobacco  n.烟草，烟叶
infallible  adj.绝不会错的,绝对可靠的
sidewalk  n.人行道
crane  n.起重机，鹤
abound  v.充满；富于
lobster  n.龙虾
owing  a.欠的，未付的
conquest  n.征服，征服地，掠取物
assurance  n.保证，担保；确信，断言；信心，信念
unanimity  n.一致
temperate  adj.自制的
fortnight  n.两星期
hypothetical  adj.假设的
gospel  n.教义,信条
culinary  adj.厨房的；烹调的
forefather  n.祖先，先辈
appliance  n.用具;设备,装置
fatuousness  n.蠢,傻
renaissance  n.文艺复兴(时期)；新生，复兴
castigate  v.惩治,严责
beast  n.兽，牲畜；凶残的人，举止粗鲁的人
poisonous  a.有毒的，恶意的，恶毒的，道德败坏的
amethyst  n.紫水晶
despicable  adj.可鄙的,卑劣的
rampant  adj.蔓生的,猖獗的
outturn  n.卸货情况
sleepy  a.困乏的
organic  a.器官的；有机的；有机体的
patrol  vt./vi.巡逻,巡查
patron  n.赞助人;资助人;老顾客,主顾
recently  ad.最近，新近
overlook  vt.俯视;忽略;宽恕
incredible  a.不可相信的，惊人的，不可思议的
scabbard  n.(刀剑)鞘
seedling  n.幼苗
